1,,223.64,0.0,6.94,48.64,1.18,1.6,2.47,1.36
2,,323.77,0.0,21.25,28.97,1.74,15.2,18.34,0.96
1,,267.03,0.0,12.85,42.92,0.46,1.67,2.68,3.71
1,,247.0,0.02,11.65,32.19,0.25,1.93,3.83,6.33
1,,263.69,0.01,12.17,34.69,0.26,2.36,4.29,2.95
2,,220.3,0.0,1.71,78.68,0.92,0.5,1.2,0.08
1,,273.71,0.0,20.39,51.5,6.91,3.96,9.04,1.63
1,,263.69,0.01,12.17,34.69,0.26,2.36,4.29,2.95
1,,247.0,0.0,12.85,52.93,0.69,1.59,2.39,8.11
2,,233.65,0.0,14.57,60.8,0.7,1.54,6.98,2.38
2,,223.64,0.0,0.57,82.25,0.32,0.5,1.83,0.12
1,,263.69,0.01,12.17,34.69,0.26,2.36,4.29,2.95
2,,240.33,0.0,5.01,65.8,3.34,2.11,3.92,1.79
2,,353.81,0.01,12.17,30.76,0.74,24.33,25.62,6.4
1,,213.62,0.0,1.76,48.64,0.09,7.31,13.68,0.92
2,,208.62,0.0,1.11,51.5,0.25,21.95,23.01,0.2
1,,247.0,0.0,8.05,42.2,0.16,1.27,2.61,3.01
3,,257.02,0.0,5.91,39.7,0.48,27.95,35.13,2.69
2,,233.65,0.0,3.86,62.23,0.23,0.72,1.59,3.29
1,,230.31,0.0,1.82,54.36,0.1,6.29,10.18,0.8
1,,195.27,0.0,3.38,36.12,0.28,4.44,5.71,0.93
1,,267.03,0.0,20.05,52.93,6.44,3.93,9.57,3.52
2,,188.59,0.0,4.93,52.21,1.0,12.2,14.73,4.18
1,,270.37,0.02,20.74,36.12,0.59,2.63,5.02,20.27
2,,226.97,0.0,1.52,84.4,0.51,0.5,1.35,0.6
1,,347.14,0.03,25.02,27.18,0.72,5.29,7.51,3.14
1,,250.34,0.01,8.57,44.7,0.26,1.39,2.63,4.94
2,,230.31,0.0,2.42,69.38,0.32,0.62,1.53,1.44
1,,273.71,0.02,14.22,33.62,0.31,2.68,4.47,2.63
2,,230.31,0.0,1.95,82.25,0.82,0.54,1.38,1.22
2,,240.33,0.01,5.44,26.11,0.41,22.59,26.99,0.83
1,,210.29,0.0,3.6,36.12,0.14,9.86,13.91,1.01
2,,220.3,0.0,2.14,71.53,1.13,0.5,0.91,0.07
2,,260.35,0.01,5.48,21.46,0.24,23.27,26.54,0.61
1,,226.97,0.0,5.74,47.92,1.09,1.73,2.23,0.26
1,,340.46,0.03,19.71,37.91,0.81,3.84,6.65,1.5
2,,223.64,0.0,0.67,79.39,0.28,0.5,1.36,0.36
2,,220.3,0.0,1.36,77.25,0.59,0.5,1.25,0.37
2,,226.97,0.0,2.25,66.52,0.2,2.66,5.26,0.62
1,,240.33,0.0,21.42,54.36,1.46,1.88,7.23,3.17
3,,205.28,0.0,3.73,32.54,0.58,35.02,37.65,0.0
1,,247.0,0.0,12.85,52.93,0.69,1.59,2.39,8.11
1,,190.26,0.0,3.77,39.7,0.2,4.67,7.02,0.82
2,,230.31,0.0,7.71,67.23,1.16,1.88,7.09,4.5
1,,240.33,0.0,10.28,46.49,0.23,1.23,2.87,10.77
2,,223.64,0.0,1.93,67.23,0.3,0.51,1.42,2.22
1,,260.35,0.0,10.45,45.42,0.66,2.57,4.57,12.29
1,,226.97,0.0,8.31,58.65,0.27,1.26,5.31,4.18
2,,216.96,0.0,2.44,45.78,0.27,12.62,16.45,0.51
2,,230.31,0.0,2.19,80.11,0.43,0.5,1.0,0.43
2,,226.97,0.0,1.89,60.8,0.18,3.61,5.8,0.52
1,,250.34,0.0,17.65,44.7,2.33,2.6,6.24,1.98
1,,273.71,0.01,14.74,32.19,0.35,2.76,4.87,4.18
1,,267.03,0.0,10.88,44.35,0.6,1.85,2.93,4.81
2,,205.28,0.0,2.61,37.19,0.24,13.3,18.12,0.75
1,,257.02,0.05,22.28,19.13,2.56,3.83,6.57,1.28
1,,233.65,0.0,14.22,48.64,0.54,1.47,6.1,5.51
2,,230.31,0.0,2.16,82.97,0.68,0.54,1.55,1.11
1,,273.71,0.0,20.39,51.5,6.91,3.96,9.04,1.63
1,,240.33,0.0,6.86,46.49,1.54,5.62,6.31,0.81
2,,210.29,0.0,0.85,77.96,0.54,0.5,0.84,0.63
2,,220.3,0.0,0.69,95.84,0.5,1.0,4.61,0.0
2,,236.99,0.0,1.82,90.84,0.95,12.44,14.94,1.19
2,,233.65,0.0,3.73,77.96,0.69,0.85,2.26,1.69
2,,253.68,0.0,3.09,73.67,1.49,11.97,15.49,0.72
1,,240.33,0.0,10.28,46.49,0.23,1.23,2.87,10.77
2,,230.31,0.0,2.16,82.97,0.68,0.54,1.55,1.11
2,,220.3,0.0,1.5,46.49,0.14,13.15,18.66,0.72
1,,236.99,0.0,4.71,53.64,0.47,3.6,4.51,0.96
1,,273.71,0.02,14.22,33.62,0.31,2.68,4.47,2.63
1,,198.6,0.0,2.87,39.34,0.27,5.13,6.61,2.69
1,,270.37,0.0,10.2,55.79,0.55,1.63,3.58,1.87
1,,283.72,0.06,17.65,27.18,0.55,3.33,5.36,6.21
2,,230.31,0.0,4.11,65.8,1.21,1.44,2.42,0.84
1,,173.57,0.0,2.42,35.76,0.09,4.91,9.9,0.91
1,,190.26,0.0,3.77,39.7,0.2,4.67,7.02,0.82
1,,183.58,0.0,1.97,26.11,0.14,5.26,7.24,2.25
1,,230.31,0.0,13.02,49.35,0.53,1.43,6.05,6.4
2,,277.04,0.0,13.2,40.77,3.49,19.46,22.04,2.76
1,,347.14,0.03,25.02,27.18,0.72,5.29,7.51,3.14
2,,223.64,0.0,1.39,74.39,0.4,0.5,1.34,0.57
2,,250.34,0.0,6.34,61.51,0.37,1.09,1.87,2.12
2,,226.97,0.0,1.84,68.67,0.32,0.5,1.36,1.93
1,,250.34,0.01,8.57,44.7,0.26,1.39,2.63,4.94
2,,300.41,0.02,16.79,29.33,2.47,10.49,11.94,1.49
2,,240.33,0.0,14.22,60.08,1.09,2.05,7.4,5.07
2,,226.97,0.0,11.31,60.08,0.43,1.45,6.44,6.02
1,,190.26,0.0,4.58,38.62,0.06,5.83,6.1,1.08
1,,210.29,0.01,12.51,30.76,1.04,7.03,8.99,6.02
1,,240.33,0.0,5.57,53.64,0.57,4.6,5.43,1.25
1,,243.66,0.0,6.6,58.65,0.51,1.08,2.08,4.62
1,,257.02,0.0,15.08,35.76,3.64,5.66,6.75,0.86
1,,236.99,0.0,6.08,54.36,1.46,5.31,6.02,0.67
1,,216.96,0.0,2.96,57.94,0.57,9.52,11.64,1.68
2,,267.03,0.0,5.01,38.27,0.31,11.66,15.35,1.0
1,,247.0,0.0,12.85,52.93,0.69,1.59,2.39,8.11
1,,195.27,0.0,2.42,40.05,0.08,3.97,4.41,3.36
2,,260.35,0.0,4.24,62.23,1.01,13.42,16.92,5.57
2,,223.64,0.0,2.06,69.38,0.18,0.5,1.3,2.69
1,,236.99,0.0,8.05,39.7,0.14,1.15,2.75,5.0
1,,243.66,0.0,24.33,46.49,0.86,1.93,7.37,3.86
2,,226.97,0.0,1.52,84.4,0.51,0.5,1.35,0.6
2,,233.65,0.0,3.26,64.37,0.21,0.56,1.39,2.34
2,,226.97,0.0,1.84,68.67,0.32,0.5,1.36,1.93
2,,233.65,0.0,3.21,68.67,0.38,2.43,4.38,0.81
1,,236.99,0.0,17.65,57.22,1.04,1.58,6.37,3.77
3,,327.11,0.0,7.11,60.08,1.22,30.18,34.62,1.31
2,,257.02,0.01,4.88,22.89,0.2,15.6,17.84,0.83
1,,233.65,0.0,5.23,55.79,0.17,0.76,1.83,5.76
1,,250.34,0.03,21.25,20.03,1.82,3.42,5.97,2.19
1,,253.68,0.0,6.94,50.78,1.48,8.51,9.29,0.74
1,,260.35,0.0,10.63,41.84,0.27,2.0,3.71,2.28
1,,260.35,0.01,12.17,38.27,0.23,1.78,3.07,3.58
1,,253.68,0.0,7.88,44.35,1.85,9.6,10.4,0.53
2,,195.27,0.0,2.66,39.34,0.13,10.93,14.52,1.43
1,,176.91,0.0,2.38,40.05,0.09,4.0,5.23,1.14
2,,223.64,0.0,0.65,80.11,0.41,0.57,2.07,0.03
1,,233.65,0.0,2.74,48.64,0.22,5.61,8.19,0.71
2,,230.31,0.0,10.03,60.08,2.18,2.33,6.86,2.69
1,,240.33,0.0,6.08,58.65,0.97,0.87,1.68,2.79
1,,236.99,0.0,10.63,55.79,1.52,1.51,3.61,6.97
1,,230.31,0.0,14.91,58.65,1.18,1.84,7.44,2.82
1,,353.81,0.05,17.31,25.03,0.49,9.03,10.98,1.46
2,,260.35,0.0,5.66,33.98,0.29,20.04,23.43,1.0
1,,230.31,0.0,4.2,54.36,0.16,0.74,1.86,5.38
1,,190.26,0.0,3.6,34.69,0.21,4.01,6.45,1.24
1,,201.94,0.0,2.59,44.7,0.2,9.75,11.78,0.6
2,,236.99,0.0,6.08,71.53,0.66,1.11,2.51,9.37
1,,263.69,0.0,9.85,31.47,0.48,4.35,4.66,1.08
2,,223.64,0.0,0.94,79.39,0.5,0.5,1.37,0.17
1,,267.03,0.01,11.82,35.41,0.3,2.19,3.74,2.63
1,,240.33,0.0,6.26,52.21,0.19,0.96,1.95,2.12
2,,223.64,0.0,2.51,64.37,0.15,0.52,1.53,4.69
1,,250.34,0.0,6.26,50.78,1.12,8.72,9.51,0.77
1,,191.93,0.0,4.5,41.49,0.45,3.67,4.93,2.01
2,,233.65,0.0,4.46,70.1,0.41,0.5,1.26,2.25
3,,674.25,3.97,78.14,4.16,16.93,37.12,41.47,3.52
2,,233.65,0.0,10.71,63.66,1.27,2.08,7.4,5.76
1,,175.24,0.01,4.2,31.47,0.13,4.5,8.89,1.35
2,,223.64,0.0,0.46,86.55,0.34,0.51,1.96,0.0
1,,340.46,0.03,19.71,37.91,0.81,3.84,6.65,1.5
2,,257.02,0.0,10.97,35.05,0.28,12.13,14.74,1.28
2,,205.28,0.0,1.3,62.94,0.34,7.04,9.41,0.86
2,,273.71,0.0,8.65,45.42,1.33,13.99,15.44,0.48
2,,223.64,0.0,1.48,77.25,0.21,0.5,1.31,1.82
1,,247.0,0.0,10.88,39.7,2.89,4.7,5.58,0.86
2,,233.65,0.0,12.68,62.94,0.81,1.87,7.1,6.14
2,,230.31,0.0,1.48,83.69,0.54,0.5,1.04,0.3
2,,233.65,0.0,9.17,66.52,0.9,1.72,6.52,4.81
1,,216.96,0.0,5.66,52.93,0.74,9.21,14.59,3.71
1,,230.31,0.1,11.48,16.99,0.36,5.18,7.37,1.19
2,,273.71,0.0,9.77,34.33,0.52,14.57,17.81,1.49
1,,230.31,0.0,4.16,58.65,0.18,0.54,1.32,2.44
2,,410.56,0.0,38.39,49.35,5.25,20.7,25.04,1.35
2,,253.68,0.0,3.09,57.94,5.13,10.79,12.51,2.22
1,,226.97,0.0,8.31,58.65,0.27,1.26,5.31,4.18
1,,211.95,0.0,2.23,59.37,0.4,7.37,9.55,0.78
2,,223.64,0.0,2.42,48.64,0.23,16.49,19.41,0.71
1,,230.31,0.0,1.82,54.36,0.1,6.29,10.18,0.8
1,,230.31,0.0,14.91,58.65,1.18,1.84,7.44,2.82
1,,260.35,0.0,7.03,57.22,0.41,1.28,3.02,1.65
2,,223.64,0.0,1.93,67.23,0.3,0.51,1.42,2.22
1,,201.94,0.0,4.84,45.06,0.35,4.58,6.92,1.88
1,,263.69,0.01,12.17,33.26,0.21,2.26,3.98,2.88
2,,233.65,0.0,7.88,62.94,0.92,1.54,4.14,1.69
2,,220.3,0.0,0.87,75.82,0.36,0.57,1.86,0.36
1,,273.71,0.01,27.08,34.69,0.66,3.32,5.81,19.76
2,,267.03,0.0,5.06,41.84,0.51,18.94,22.4,0.96
1,,236.99,0.0,7.03,45.42,0.18,1.05,2.5,6.08
1,,236.99,0.0,5.66,50.07,1.07,5.01,5.71,0.87
2,,223.64,0.0,1.76,60.08,1.0,0.5,1.07,0.88
1,,233.65,0.0,3.81,57.94,0.38,3.29,4.38,0.9
2,,250.34,0.0,6.34,61.51,0.37,1.09,1.87,2.12
2,,247.0,0.0,5.27,63.66,0.35,0.85,1.67,1.69
2,,233.65,0.0,14.57,60.8,0.7,1.54,6.98,2.38
1,,270.37,0.02,20.74,36.12,0.59,2.63,5.02,20.27
2,,226.97,0.0,2.91,62.94,0.22,0.5,1.26,2.63
1,,230.31,0.0,5.74,45.78,0.13,0.87,2.23,5.7
1,,240.33,0.0,15.59,49.35,0.71,1.33,4.88,4.12
2,,223.64,0.0,0.65,80.11,0.41,0.57,2.07,0.03
1,,236.99,0.0,7.8,34.69,0.48,2.81,3.29,1.35
1,,250.34,0.0,8.31,44.35,0.18,1.3,2.53,2.98
2,,226.97,0.0,3.43,78.68,1.8,0.5,1.61,0.16
2,,230.31,0.0,7.2,62.23,0.54,1.22,4.91,3.9
1,,226.97,0.0,3.73,56.51,0.5,5.94,6.58,0.79
1,,247.0,0.0,7.54,51.5,0.25,1.54,3.21,1.54
2,,267.03,0.03,14.22,25.03,1.24,16.0,16.8,5.13
2,,226.97,0.0,1.15,80.82,0.43,0.5,0.99,0.52
1,,270.37,0.01,11.14,27.18,0.95,4.15,4.92,0.8
2,,223.64,0.0,2.06,69.38,0.18,0.5,1.3,2.69
2,,236.99,0.0,15.94,60.08,1.13,1.68,6.66,4.24
1,,201.94,0.0,2.59,44.7,0.2,9.75,11.78,0.6
1,,250.34,0.01,9.34,40.41,0.21,1.57,3.04,2.57
1,,270.37,0.01,14.05,32.9,0.34,2.88,5.24,4.81
2,,240.33,0.0,19.02,62.94,1.67,1.71,7.67,1.98
2,,250.34,0.0,9.0,37.19,2.27,14.57,20.19,2.88
3,,340.46,0.0,10.54,37.55,1.13,42.04,47.29,0.64
2,,233.65,0.0,3.77,75.82,0.8,0.73,1.65,2.25
1,,263.69,0.01,12.17,34.69,0.26,2.36,4.29,2.95
2,,247.0,0.0,5.36,66.52,0.41,0.93,1.66,2.41
1,,243.66,0.0,5.91,54.36,0.66,4.84,5.64,1.24
2,,223.64,0.0,2.08,80.11,0.63,10.95,12.79,1.0
2,,233.65,0.0,3.26,64.37,0.21,0.56,1.39,2.34
1,,198.6,0.0,2.53,59.37,0.13,4.84,6.72,1.0
1,,253.68,0.0,12.34,38.27,2.35,5.22,6.25,0.98
1,,236.99,0.0,4.28,56.51,0.55,4.12,4.99,0.92
1,,247.0,0.0,12.34,36.12,1.25,4.47,5.36,1.09
2,,247.0,0.0,4.5,60.08,1.51,3.57,5.15,1.2
2,,236.99,0.0,6.0,38.27,0.82,15.75,23.34,2.69
1,,191.93,0.0,3.47,59.37,0.45,5.48,7.4,1.98
1,,250.34,0.01,31.19,44.35,1.16,1.93,7.89,2.22
1,,236.99,0.0,7.03,45.42,0.18,1.05,2.5,6.08
2,,287.06,0.0,5.14,77.25,0.86,16.93,21.01,1.14
2,,283.72,0.0,8.82,38.98,0.86,12.4,14.32,0.73
1,,273.71,0.01,27.08,34.69,0.66,3.32,5.81,19.76
2,,226.97,0.0,1.78,76.53,0.42,0.61,1.78,0.94
3,,330.45,0.0,8.14,38.27,0.87,34.38,38.8,3.29
1,,176.91,0.0,2.38,40.05,0.09,4.0,5.23,1.14
2,,230.31,0.0,2.42,69.38,0.32,0.62,1.53,1.44
2,,230.31,0.0,12.85,60.8,0.74,2.15,7.74,4.56
1,,236.99,0.0,5.18,55.08,0.75,4.78,5.39,1.12
1,,216.96,0.0,7.37,41.84,0.45,2.14,2.61,1.47
2,,233.65,0.0,18.17,61.51,2.21,2.09,8.21,2.76
1,,236.99,0.0,9.08,42.2,0.18,1.51,3.75,16.72
1,,236.99,0.0,10.63,55.79,1.52,1.51,3.61,6.97
2,,216.96,0.0,1.69,65.8,0.52,8.99,11.93,1.57
2,,226.97,0.0,1.52,84.4,0.51,0.5,1.35,0.6
1,,233.65,0.0,9.94,57.94,0.83,1.53,5.88,6.27
1,,283.72,0.06,17.65,27.18,0.55,3.33,5.36,6.21
1,,260.35,0.0,10.45,45.42,0.66,2.57,4.57,12.29
1,,263.69,0.0,11.48,45.78,0.43,2.07,3.6,7.66
2,,233.65,0.0,11.65,60.08,2.56,2.67,7.97,4.5
2,,233.65,0.0,7.88,62.94,0.92,1.54,4.14,1.69
2,,260.35,0.01,9.85,28.97,0.54,15.7,17.83,0.25
2,,223.64,0.0,0.62,80.11,0.3,0.5,1.57,0.26
1,,236.99,0.01,8.05,25.75,0.59,5.18,5.9,0.5
1,,230.31,0.0,4.16,58.65,0.18,0.54,1.32,2.44
1,,260.35,0.0,10.63,41.84,0.27,2.0,3.71,2.28
1,,236.99,0.01,8.05,25.75,0.59,5.18,5.9,0.5
2,,233.65,0.0,3.73,77.96,0.69,0.85,2.26,1.69
2,,220.3,0.0,1.82,47.21,0.16,10.98,16.67,0.73
1,,176.91,0.0,2.38,40.05,0.09,4.0,5.23,1.14
2,,206.95,0.0,1.27,66.52,0.64,7.98,9.61,0.91
1,,240.33,0.0,16.11,23.25,2.35,4.93,6.5,1.03
2,,220.3,0.0,1.52,70.1,0.32,0.53,1.57,1.52
1,,236.99,0.0,16.45,57.94,1.1,1.78,6.87,4.37
1,,208.62,0.0,3.26,40.77,0.39,8.18,9.75,2.25
1,,236.99,0.0,10.63,55.79,1.52,1.51,3.61,6.97
1,,290.39,0.03,13.2,30.76,1.39,4.2,5.47,0.84
1,,236.99,0.0,7.03,45.42,0.18,1.05,2.5,6.08
1,,257.02,0.03,37.01,36.84,2.74,2.15,8.02,2.69
3,,273.71,0.0,1.46,107.29,0.94,13.71,16.54,1.77
2,,220.3,0.0,1.5,46.49,0.14,13.15,18.66,0.72
1,,240.33,0.0,21.94,48.64,0.78,1.73,7.11,2.79
2,,247.0,0.0,5.27,63.66,0.35,0.85,1.67,1.69
2,,193.6,0.0,3.81,65.09,0.45,3.42,4.69,4.31
1,,263.69,0.0,17.99,52.93,5.6,3.77,8.78,1.88
2,,226.97,0.0,3.64,72.24,0.63,0.68,1.91,3.33
2,,236.99,0.0,15.94,60.08,1.13,1.68,6.66,4.24
1,,223.64,0.0,1.56,48.64,0.09,7.0,10.21,0.56
1,,176.91,0.0,2.38,40.05,0.09,4.0,5.23,1.14
1,,230.31,0.0,10.71,32.9,0.7,3.74,4.53,0.84
1,,230.31,0.0,5.74,45.78,0.13,0.87,2.23,5.7
2,,206.95,0.0,1.5,76.53,0.38,7.1,8.76,1.19
2,,267.03,0.01,11.48,28.25,0.55,13.35,14.44,0.63
2,,220.3,0.0,1.67,77.25,0.83,0.5,1.06,0.15
2,,383.85,0.0,6.77,83.69,0.98,22.28,23.68,1.24
2,,226.97,0.0,1.86,74.39,0.37,0.55,1.46,1.22
2,,223.64,0.0,1.74,76.53,0.3,0.59,1.9,2.25
1,,240.33,0.0,8.82,42.2,0.29,1.46,3.56,8.23
2,,203.61,0.0,1.74,67.95,0.15,7.19,7.47,5.83
1,,230.31,0.0,11.65,59.37,0.38,1.49,6.68,3.74
1,,233.65,0.0,14.22,48.64,0.54,1.47,6.1,5.51
1,,230.31,0.0,14.91,58.65,1.18,1.84,7.44,2.82
1,,216.96,0.0,5.18,38.98,0.09,3.71,4.45,1.33
1,,230.31,0.0,4.5,55.08,0.12,0.64,1.68,2.72
1,,247.0,0.02,11.65,32.19,0.25,1.93,3.83,6.33
1,,193.6,0.0,3.0,49.35,0.25,5.27,6.01,0.98
2,,173.57,0.0,2.06,64.37,0.1,2.57,3.82,1.85
1,,168.56,0.0,3.3,33.26,0.13,4.86,5.17,1.41
2,,220.3,0.0,1.91,63.66,0.53,0.5,0.77,0.83
1,,243.66,0.0,2.7,52.21,0.22,7.06,9.97,0.67
1,,226.97,0.0,1.8,48.64,0.08,5.95,8.71,0.63
2,,226.97,0.0,2.74,71.53,0.59,12.41,14.38,0.88
1,,260.35,0.0,11.14,45.06,0.33,1.57,2.56,2.72
1,,260.35,0.0,9.43,40.41,1.04,9.89,10.78,0.46
1,,233.65,0.0,2.06,56.51,0.18,3.86,5.52,0.68
1,,223.64,0.0,3.04,52.93,0.32,5.05,5.61,0.72
1,,247.0,0.0,6.43,42.2,0.69,2.77,3.28,0.66
2,,223.64,0.0,2.1,66.52,0.28,0.5,1.31,2.34
1,,283.72,0.02,12.17,25.39,1.25,4.69,5.16,0.82
1,,257.02,0.0,8.82,50.78,0.34,1.46,2.28,3.04
1,,293.73,0.01,15.77,25.75,2.95,4.91,5.48,0.75
1,,247.0,0.02,11.65,32.19,0.25,1.93,3.83,6.33
1,,270.37,0.01,14.05,32.9,0.34,2.88,5.24,4.81
2,,223.64,0.0,0.89,78.68,0.51,0.5,1.52,0.09
1,,236.99,0.0,16.45,59.37,0.9,1.89,7.2,3.64
1,,273.71,0.01,14.74,32.19,0.35,2.76,4.87,4.18
2,,223.64,0.0,1.3,75.1,0.21,0.5,1.36,1.93
1,,236.99,0.0,7.8,39.7,0.13,1.18,2.75,3.9
1,,257.02,0.0,10.8,41.13,0.32,2.38,4.82,4.81
1,,236.99,0.0,9.51,40.05,0.31,1.42,3.6,7.16
2,,233.65,0.0,4.5,70.81,0.72,0.74,2.09,1.39
1,,240.33,0.0,10.28,46.49,0.23,1.23,2.87,10.77
1,,250.34,0.0,8.31,44.35,0.18,1.3,2.53,2.98
2,,236.99,0.0,6.0,38.27,0.82,15.75,23.34,2.69
1,,247.0,0.0,6.43,42.2,0.69,2.77,3.28,0.66
1,,273.71,0.02,14.22,33.62,0.31,2.68,4.47,2.63
1,,236.99,0.0,8.82,37.91,0.15,1.33,3.12,5.13
1,,226.97,0.0,10.45,52.93,0.26,1.34,5.67,4.18
2,,220.3,0.0,1.48,45.42,0.14,13.77,19.43,0.77
1,,257.02,0.0,8.82,50.78,0.34,1.46,2.28,3.04
1,,257.02,0.0,12.17,57.94,0.95,1.58,2.5,6.46
1,,253.68,0.0,3.9,46.49,0.62,6.5,7.49,0.47
1,,253.68,0.0,12.0,32.54,1.01,4.95,5.69,1.33
1,,287.06,0.0,28.79,37.19,10.85,4.52,9.84,1.19
2,,220.3,0.0,2.14,71.53,1.13,0.5,0.91,0.07
1,,240.33,0.0,5.44,55.79,0.92,7.48,8.18,0.76
2,,220.3,0.0,0.63,81.54,0.27,0.5,1.66,0.57
2,,233.65,0.0,3.26,64.37,0.21,0.56,1.39,2.34
2,,220.3,0.0,0.63,81.54,0.27,0.5,1.66,0.57
2,,247.0,0.0,11.14,64.37,1.73,13.65,16.3,2.69
1,,270.37,0.05,25.02,11.44,3.34,5.45,7.6,1.25
1,,236.99,0.0,17.65,57.22,1.04,1.58,6.37,3.77
2,,233.65,0.0,4.46,70.1,0.41,0.5,1.26,2.25
2,,220.3,0.0,1.91,63.66,0.53,0.5,0.77,0.83
2,,273.71,0.0,7.88,47.92,1.22,12.55,13.94,0.52
2,,226.97,0.0,2.74,71.53,0.59,12.41,14.38,0.88
2,,240.33,0.0,4.07,81.54,0.78,1.09,2.35,2.44
2,,283.72,0.14,12.68,14.48,0.92,18.09,21.58,1.58
1,,223.64,0.0,3.47,56.51,0.47,4.41,4.94,0.9
1,,236.99,0.0,5.14,57.22,0.72,5.13,5.7,1.19
2,,226.97,0.0,1.41,80.11,0.35,0.55,1.74,0.92
1,,270.37,0.0,14.57,52.21,0.66,2.57,4.68,8.61
1,,250.34,0.01,20.05,48.64,0.77,1.83,6.41,4.24
1,,191.93,0.0,2.53,53.64,1.21,6.27,7.23,0.64
2,,226.97,0.0,1.52,84.4,0.51,0.5,1.35,0.6
1,,240.33,0.0,5.36,55.08,0.65,5.26,5.9,1.28
2,,260.35,0.0,8.14,47.92,1.76,10.5,11.33,0.32
3,,363.83,0.0,7.2,70.81,2.15,36.71,41.71,1.41
1,,243.66,0.0,11.65,37.19,1.07,4.15,5.0,1.06
2,,480.65,0.0,14.74,50.78,1.12,21.75,24.87,5.51
2,,230.31,0.0,1.95,82.25,0.82,0.54,1.38,1.22
1,,250.34,0.01,12.68,35.41,0.21,1.86,4.07,8.99
1,,260.35,0.01,12.17,38.27,0.23,1.78,3.07,3.58
1,,287.06,0.0,23.99,49.35,8.23,4.22,9.45,1.58
1,,260.35,0.0,11.48,52.21,1.01,1.8,2.69,3.48
1,,186.92,0.0,2.36,24.68,0.17,6.39,8.68,2.6
2,,243.66,0.0,6.08,72.96,1.46,1.32,2.62,2.06
1,,200.27,0.0,4.58,52.93,0.72,2.33,3.51,4.5
1,,263.69,0.0,9.85,29.68,1.1,7.63,8.58,1.25
2,,303.75,0.0,10.11,59.37,1.97,12.33,15.86,0.92
2,,208.62,0.0,1.41,63.66,0.52,8.39,10.51,0.74
1,,236.99,0.0,3.34,51.5,0.42,7.05,9.91,0.86
2,,297.07,0.0,9.34,40.05,0.89,22.44,25.34,1.39
3,,293.73,0.0,5.91,33.62,0.41,30.14,33.74,0.61
2,,250.34,0.0,5.74,68.67,0.72,14.46,15.83,0.59
1,,253.68,0.0,8.4,54.36,1.45,2.98,6.56,1.05
2,,377.18,0.05,27.76,27.9,4.53,23.67,26.87,1.9
1,,190.26,0.0,3.77,39.7,0.2,4.67,7.02,0.82
2,,247.0,0.0,3.56,81.54,0.54,7.47,8.33,0.16
2,,310.42,0.0,33.59,38.98,12.99,18.29,22.33,0.38
1,,243.66,0.0,5.36,53.64,0.22,1.16,2.36,2.47
1,,283.72,0.01,16.79,35.05,0.47,2.42,3.34,3.39
2,,317.1,0.0,10.97,51.5,0.95,12.74,15.27,1.82
1,,260.35,0.0,6.68,43.63,1.03,9.58,10.65,0.76
1,,250.34,0.01,8.57,44.7,0.26,1.39,2.63,4.94
2,,257.02,0.0,4.16,45.06,0.51,19.02,21.98,0.82
2,,226.97,0.0,5.57,67.95,2.3,1.49,4.06,0.76
2,,186.92,0.0,3.81,70.1,0.46,4.38,4.84,5.83
2,,220.3,0.0,3.73,40.41,0.45,13.02,17.23,0.5
2,,220.3,0.0,5.4,70.1,0.73,1.06,3.04,0.97
1,,236.99,0.0,5.18,55.08,0.75,4.78,5.39,1.12
2,,223.64,0.0,2.06,69.38,0.18,0.5,1.3,2.69
2,,243.66,0.0,2.74,63.66,0.39,13.56,16.95,1.28
2,,205.28,0.0,1.3,62.94,0.34,7.04,9.41,0.86
2,,220.3,0.0,1.52,70.1,0.32,0.53,1.57,1.52
1,,260.35,0.01,12.17,38.27,0.23,1.78,3.07,3.58
1,,240.33,0.0,6.6,47.92,1.59,5.81,6.49,0.72
1,,223.64,0.0,13.54,43.99,0.37,5.03,6.29,6.02
2,,247.0,0.0,6.51,63.66,4.41,2.51,4.38,2.28
1,,243.66,0.0,10.8,57.22,1.0,1.95,4.83,2.28
1,,236.99,0.0,7.71,43.27,1.74,3.84,4.59,0.71
1,,196.93,0.0,3.38,37.55,0.21,5.04,7.56,1.01
2,,223.64,0.0,0.42,90.12,0.31,0.5,1.69,0.0
3,,440.6,0.0,39.76,43.27,6.32,28.06,32.01,2.38
2,,233.65,0.0,10.71,62.94,2.06,2.27,7.64,5.51
1,,250.34,0.0,11.65,24.68,2.56,4.42,5.22,0.67
2,,236.99,0.0,6.08,71.53,0.66,1.11,2.51,9.37
3,,330.45,0.0,1.89,107.29,0.83,25.79,27.65,1.14
2,,260.35,0.0,2.96,47.21,0.35,10.44,11.53,2.06
1,,233.65,0.01,19.36,40.77,0.46,1.56,6.05,5.89
2,,230.31,0.0,2.27,45.42,0.26,11.92,17.9,1.11
2,,247.0,0.0,7.11,61.51,0.54,1.17,1.97,3.67
1,,287.06,0.01,18.85,46.49,2.74,4.34,9.13,1.66
2,,211.95,0.01,3.43,29.33,0.2,11.01,18.83,2.01
2,,220.3,0.0,1.82,77.96,0.97,0.5,1.35,0.09
2,,216.96,0.0,1.78,44.35,0.13,11.64,17.14,0.94
2,,223.64,0.0,0.57,82.25,0.32,0.5,1.83,0.12
2,,226.97,0.0,2.91,62.94,0.22,0.5,1.26,2.63
